"preco","idade","mes_montagem","ano_montagem","km_rodados","combustivel","cavalos_potencia","cor_metalica","cor","cambio_automatico","cilindradas","portas","marchas","impostos","peso","garantia_fabrica","garantia_revendedor","periodo_garantia","abs"
13500,23,"10",2002,46986,"Diesel",90,"sim","Azul","não",2000,3,5,210,1165,"não","sim",3,"sim"
13750,23,"10",2002,72937,"Diesel",90,"sim","Prata","não",2000,3,5,210,1165,"não","sim",3,"sim"
13950,24,"9",2002,41711,"Diesel",90,"sim","Azul","não",2000,3,5,210,1165,"sim","sim",3,"sim"
14950,26,"7",2002,48000,"Diesel",90,"não","Preta","não",2000,3,5,210,1165,"sim","sim",3,"sim"
13750,30,"3",2002,38500,"Diesel",90,"não","Preta","não",2000,3,5,210,1170,"sim","sim",3,"sim"
12950,32,"1",2002,61000,"Diesel",90,"não","Branca","não",2000,3,5,210,1170,"não","sim",3,"sim"
16900,27,"6",2002,94612,"Diesel",90,"sim","Cinza","não",2000,3,5,210,1245,"não","sim",3,"sim"
18600,30,"3",2002,75889,"Diesel",90,"sim","Cinza","não",2000,3,5,210,1245,"sim","sim",3,"sim"
21500,27,"6",2002,19700,"Gasolina",192,"não","Vermelha","não",1800,3,5,100,1185,"não","sim",3,"sim"
12950,23,"10",2002,71138,"Diesel",69,"não","Azul","não",1900,3,5,185,1105,"não","sim",3,"sim"
20950,25,"8",2002,31461,"Gasolina",192,"não","Prata","não",1800,3,6,100,1185,"sim","sim",12,"sim"
19950,22,"11",2002,43610,"Gasolina",192,"não","Vermelha","não",1800,3,6,100,1185,"sim","sim",3,"sim"
19600,25,"8",2002,32189,"Gasolina",192,"não","Vermelha","não",1800,3,6,100,1185,"sim","sim",3,"sim"
21500,31,"2",2002,23000,"Gasolina",192,"sim","Preta","não",1800,3,6,100,1185,"sim","sim",3,"sim"
22500,32,"1",2002,34131,"Gasolina",192,"sim","Cinza","não",1800,3,6,100,1185,"sim","sim",3,"sim"
22000,28,"5",2002,18739,"Gasolina",192,"não","Cinza","não",1800,3,6,100,1185,"não","sim",3,"sim"
22750,30,"3",2002,34000,"Gasolina",192,"sim","Cinza","não",1800,3,5,100,1185,"não","sim",3,"sim"
17950,24,"9",2002,21716,"Gasolina",110,"sim","Azul","não",1600,3,5,85,1105,"não","não",18,"sim"
16750,24,"9",2002,25563,"Gasolina",110,"não","Cinza","não",1600,3,5,19,1065,"não","não",3,"sim"
16950,30,"3",2002,64359,"Gasolina",110,"sim","Cinza","não",1600,3,5,85,1105,"sim","sim",3,"sim"
15950,30,"3",2002,67660,"Gasolina",110,"sim","Azul","não",1600,3,5,85,1105,"sim","sim",3,"sim"
16950,29,"4",2002,43905,"Gasolina",110,"não","Cinza","sim",1600,3,5,100,1170,"não","sim",3,"sim"
15950,28,"5",2002,56349,"Gasolina",110,"sim","Preta","não",1600,3,5,85,1120,"não","sim",3,"sim"
16950,28,"5",2002,32220,"Gasolina",110,"sim","Preta","não",1600,3,5,85,1120,"sim","sim",3,"sim"
16250,29,"4",2002,25813,"Gasolina",110,"sim","Cinza","não",1600,3,5,85,1120,"sim","sim",3,"sim"
15950,25,"8",2002,28450,"Gasolina",110,"sim","Azul","não",1600,3,5,85,1120,"não","sim",3,"sim"
17495,27,"6",2002,34545,"Gasolina",110,"sim","Azul","não",1600,3,5,85,1120,"sim","sim",3,"sim"
15750,29,"4",2002,41415,"Gasolina",110,"sim","Preta","não",1600,3,5,85,1120,"sim","sim",3,"sim"
16950,28,"5",2002,44142,"Gasolina",110,"não","Cinza","não",1600,3,5,85,1120,"sim","sim",3,"sim"
17950,30,"3",2002,11090,"Gasolina",110,"sim","Azul","não",1600,3,5,85,1120,"sim","sim",3,"sim"
12950,29,"4",2002,9750,"Gasolina",97,"sim","Prata","não",1400,3,5,19,1100,"sim","sim",12,"sim"
15750,22,"11",2002,35199,"Gasolina",97,"sim","Azul","não",1400,3,5,85,1100,"sim","sim",3,"sim"
15950,27,"6",2002,29510,"Gasolina",97,"sim","Preta","não",1400,3,5,85,1100,"sim","sim",3,"sim"
14950,26,"7",2002,32692,"Gasolina",97,"sim","Cinza","não",1400,3,5,85,1100,"não","sim",3,"sim"
15500,22,"11",2002,41000,"Gasolina",97,"sim","Cinza","não",1400,3,5,85,1100,"não","não",3,"sim"
15750,26,"7",2002,43000,"Gasolina",97,"não","Cinza","não",1400,3,5,85,1100,"sim","sim",3,"sim"
15950,25,"8",2002,25000,"Gasolina",97,"não","Cinza","não",1400,3,5,85,1100,"não","sim",3,"sim"
14950,23,"10",2002,10000,"Gasolina",97,"sim","Azul","não",1400,3,5,85,1100,"sim","sim",3,"sim"
15750,32,"1",2002,25329,"Gasolina",97,"sim","Verde","não",1400,3,5,85,1100,"sim","sim",3,"sim"
14750,27,"6",2002,27500,"Gasolina",97,"não","Azul","não",1400,3,5,85,1100,"sim","sim",3,"sim"
13950,22,"11",2002,49059,"Gasolina",97,"não","Azul","não",1400,3,5,85,1100,"não","sim",3,"sim"
16750,27,"6",2002,44068,"Gasolina",97,"sim","Vermelha","não",1400,3,5,85,1100,"sim","sim",3,"sim"
13950,22,"11",2002,46961,"Gasolina",97,"não","Azul","não",1400,3,5,85,1100,"sim","sim",3,"sim"
16950,27,"6",2002,110404,"Diesel",90,"não","Vermelha","não",2000,5,5,234,1255,"sim","sim",3,"sim"
16950,22,"11",2002,100250,"Diesel",90,"não","Vermelha","não",2000,5,5,234,1255,"sim","sim",3,"sim"
19000,23,"10",2002,84000,"Diesel",90,"não","Vermelha","não",2000,5,5,234,1270,"não","sim",3,"sim"
17950,27,"6",2002,79375,"Diesel",90,"sim","Cinza","não",2000,5,5,234,1255,"não","sim",3,"sim"
15800,22,"11",2002,75048,"Gasolina",97,"sim","Azul","não",1400,5,5,85,1110,"não","sim",3,"sim"
17950,22,"11",2002,72215,"Diesel",90,"sim","Cinza","não",2000,5,5,234,1255,"sim","sim",3,"sim"
21950,31,"2",2002,64982,"Gasolina",192,"sim","Cinza","não",1800,5,6,100,1195,"sim","sim",3,"sim"
17950,22,"11",2002,62636,"Diesel",90,"sim","Cinza","não",2000,5,5,234,1255,"sim","sim",3,"sim"
15750,30,"3",2002,57086,"Gasolina",97,"sim","Cinza","não",1400,5,5,85,1110,"não","sim",3,"sim"
20500,26,"7",2002,56000,"Gasolina",110,"sim","Azul","sim",1600,5,5,100,1180,"sim","sim",3,"sim"
21950,27,"6",2002,49866,"Gasolina",192,"sim","Verde","não",1800,5,5,100,1195,"não","sim",13,"sim"
15500,25,"8",2002,49163,"Gasolina",110,"não","Verde","sim",1600,5,5,100,1165,"não","sim",3,"sim"
13250,32,"1",2002,45725,"Gasolina",110,"sim","Preta","não",1600,5,5,85,1075,"sim","sim",3,"sim"
15250,28,"5",2002,43210,"Gasolina",97,"não","Cinza","não",1400,5,5,85,1110,"não","sim",3,"sim"
15250,26,"7",2002,43000,"Gasolina",97,"não","Cinza","não",1400,5,5,85,1110,"sim","sim",3,"sim"
18950,23,"10",2002,39704,"Gasolina",110,"sim","Azul","sim",1600,5,5,100,1180,"sim","sim",3,"sim"
15999,30,"3",2002,38950,"Gasolina",110,"sim","Vermelha","não",1600,5,5,85,1130,"não","sim",3,"sim"
14950,22,"11",2002,37400,"Gasolina",97,"sim","Preta","não",1400,5,5,85,1110,"não","sim",3,"sim"
16500,27,"6",2002,37177,"Gasolina",110,"não","Vermelha","não",1600,5,5,85,1130,"não","sim",3,"sim"
18750,31,"2",2002,36544,"Gasolina",110,"sim","Azul","não",1600,5,5,85,1130,"sim","sim",3,"sim"
17950,30,"3",2002,33511,"Gasolina",110,"sim","Azul","não",1600,5,5,85,1130,"sim","sim",3,"sim"
17950,27,"6",2002,32809,"Gasolina",97,"sim","Preta","não",1400,5,5,85,1110,"não","sim",3,"sim"
16950,26,"7",2002,32181,"Gasolina",110,"sim","Azul","não",1600,5,5,19,1075,"não","sim",12,"sim"
18950,28,"5",2002,30993,"Gasolina",110,"sim","Preta","não",1600,5,5,85,1130,"sim","sim",3,"sim"
14950,22,"11",2002,30400,"Gasolina",97,"sim","Cinza","não",1400,5,5,85,1110,"não","sim",3,"sim"
22250,22,"11",2002,30000,"Diesel",110,"sim","Cinza","não",2000,5,5,234,1275,"sim","sim",3,"sim"
15950,25,"8",2002,29719,"Gasolina",97,"sim","Preta","não",1400,5,5,85,1110,"sim","sim",3,"sim"
15950,28,"5",2002,29206,"Gasolina",97,"sim","Cinza","não",1400,5,5,85,1110,"sim","sim",3,"sim"
12995,32,"1",2002,29198,"Gasolina",97,"sim","Cinza","não",1400,5,5,85,1060,"sim","sim",3,"sim"
18950,28,"5",2002,28817,"Gasolina",110,"sim","Cinza","não",1598,5,5,85,1130,"sim","sim",3,"sim"
15750,23,"10",2002,28227,"Gasolina",97,"sim","Cinza","não",1400,5,5,85,1110,"não","sim",3,"sim"
19950,28,"5",2002,28000,"Gasolina",110,"não","Preta","não",1600,5,5,85,1130,"sim","não",3,"sim"
16950,23,"10",2002,28000,"Gasolina",110,"sim","Cinza","não",1600,5,5,85,1115,"sim","sim",3,"sim"
18750,31,"2",2002,25266,"Gasolina",110,"sim","Cinza","não",1600,5,5,85,1130,"sim","sim",3,"sim"
18450,27,"6",2002,23489,"Gasolina",110,"não","Prata","não",1600,5,5,85,1115,"não","sim",3,"sim"
16895,29,"4",2002,22575,"Gasolina",110,"sim","Cinza","não",1600,5,5,85,1115,"sim","sim",3,"sim"
14900,30,"3",2002,22000,"Gasolina",97,"sim","Cinza","não",1400,5,5,85,1110,"sim","sim",3,"sim"
18950,25,"8",2002,20019,"Gasolina",110,"sim","Azul","sim",16000,5,5,100,1180,"não","não",3,"sim"
