"cod","ies","uf","categoria","cpc_metrico","cpc","regiao"
1,"UNIVERSIDADE FEDERAL DE MATO GROSSO","MT","Pública Federal",3.027883464,"CPC 4","Centro-Oeste"
1,"UNIVERSIDADE FEDERAL DE MATO GROSSO","MT","Pública Federal",2.814476755,"CPC 3","Centro-Oeste"
1,"UNIVERSIDADE FEDERAL DE MATO GROSSO","MT","Pública Federal",3.131664777,"CPC 4","Centro-Oeste"
1,"UNIVERSIDADE FEDERAL DE MATO GROSSO","MT","Pública Federal",3.059953888,"CPC 4","Centro-Oeste"
1,"UNIVERSIDADE FEDERAL DE MATO GROSSO","MT","Pública Federal",3.123130462,"CPC 4","Centro-Oeste"
1,"UNIVERSIDADE FEDERAL DE MATO GROSSO","MT","Pública Federal",2.665894759,"CPC 3","Centro-Oeste"
2,"UNIVERSIDADE DE BRASÍLIA","DF","Pública Federal",3.495237036,"CPC 4","Centro-Oeste"
2,"UNIVERSIDADE DE BRASÍLIA","DF","Pública Federal",3.421524652,"CPC 4","Centro-Oeste"
2,"UNIVERSIDADE DE BRASÍLIA","DF","Pública Federal",3.170918218,"CPC 4","Centro-Oeste"
2,"UNIVERSIDADE DE BRASÍLIA","DF","Pública Federal",3.405828518,"CPC 4","Centro-Oeste"
2,"UNIVERSIDADE DE BRASÍLIA","DF","Pública Federal",3.471875331,"CPC 4","Centro-Oeste"
2,"UNIVERSIDADE DE BRASÍLIA","DF","Pública Federal",3.397835287,"CPC 4","Centro-Oeste"
2,"UNIVERSIDADE DE BRASÍLIA","DF","Pública Federal",3.500416824,"CPC 4","Centro-Oeste"
2,"UNIVERSIDADE DE BRASÍLIA","DF","Pública Federal",3.14985005,"CPC 4","Centro-Oeste"
3,"UNIVERSIDADE FEDERAL DE SERGIPE","SE","Pública Federal",2.853699095,"CPC 3","Nordeste"
3,"UNIVERSIDADE FEDERAL DE SERGIPE","SE","Pública Federal",3.203011328,"CPC 4","Nordeste"
4,"UNIVERSIDADE FEDERAL DO AMAZONAS","AM","Pública Federal",2.728336696,"CPC 3","Norte"
4,"UNIVERSIDADE FEDERAL DO AMAZONAS","AM","Pública Federal",3.024386539,"CPC 4","Norte"
4,"UNIVERSIDADE FEDERAL DO AMAZONAS","AM","Pública Federal",2.38268892,"CPC 3","Norte"
4,"UNIVERSIDADE FEDERAL DO AMAZONAS","AM","Pública Federal",2.360066317,"CPC 3","Norte"
4,"UNIVERSIDADE FEDERAL DO AMAZONAS","AM","Pública Federal",2.944101821,"CPC 3","Norte"
4,"UNIVERSIDADE FEDERAL DO AMAZONAS","AM","Pública Federal",2.905885841,"CPC 3","Norte"
