"CD_GEOCODM","city","state","poverty"
"5000203","ÁGUA CLARA","MS",27.9
"5000252","ALCINÓPOLIS","MS",24.37
"5000609","AMAMBAI","MS",40.97
"5000708","ANASTÁCIO","MS",38.42
"5000807","ANAURILÂNDIA","MS",38.99
"5000856","ANGÉLICA","MS",23.13
"5000906","ANTÔNIO JOÃO","MS",51.88
"5001003","APARECIDA DO TABOADO","MS",19.54
"5001102","AQUIDAUANA","MS",40.94
"5001243","ARAL MOREIRA","MS",54.63
"5001508","BANDEIRANTES","MS",33.6
"5001904","BATAGUASSU","MS",25.87
"5002001","BATAYPORÃ","MS",34.35
"5002100","BELA VISTA","MS",46.66
"5002159","BODOQUENA","MS",41.26
"5002209","BONITO","MS",32
"5002308","BRASILÂNDIA","MS",23.93
"5002407","CAARAPÓ","MS",34.45
"5002605","CAMAPUÃ","MS",23.68
"5002704","CAMPO GRANDE","MS",17.26
"5002803","CARACOL","MS",43.51
"5002902","CASSILÂNDIA","MS",21.16
"5002951","CHAPADÃO DO SUL","MS",13.91
"5003108","CORGUINHO","MS",36.15
"5003157","CORONEL SAPUCAIA","MS",57.56
"5003207","CORUMBÁ","MS",37.51
"5003256","COSTA RICA","MS",19.41
"5003306","COXIM","MS",28.02
"5003454","DEODÁPOLIS","MS",25.34
"5003488","DOIS IRMÃOS DO BURITI","MS",55.92
"5003504","DOURADINA","MS",35.96
"5003702","DOURADOS","MS",19.88
"5003751","ELDORADO","MS",35.56
"5003801","FÁTIMA DO SUL","MS",25.72
"5003900","FIGUEIRÃO","MS",28.35
"5004007","GLÓRIA DE DOURADOS","MS",23.96
"5004106","GUIA LOPES DA LAGUNA","MS",42.83
"5004304","IGUATEMI","MS",38.15
"5004403","INOCÊNCIA","MS",26.39
"5004502","ITAPORÃ","MS",45.75
"5004601","ITAQUIRAÍ","MS",44.35
"5004700","IVINHEMA","MS",23.03
"5004809","JAPORÃ","MS",72.04
"5004908","JARAGUARI","MS",37.44
"5005004","JARDIM","MS",30.16
"5005103","JATEÍ","MS",38.22
"5005152","JUTI","MS",41.08
"5005202","LADÁRIO","MS",37.86
"5005251","LAGUNA CARAPÃ","MS",38.64
"5005400","MARACAJU","MS",22.82
"5005608","MIRANDA","MS",52.85
"5005681","MUNDO NOVO","MS",29.41
"5005707","NAVIRAÍ","MS",21.48
"5005806","NIOAQUE","MS",49.78
"5006002","NOVA ALVORADA DO SUL","MS",24.29
"5006200","NOVA ANDRADINA","MS",23.87
"5006259","NOVO HORIZONTE DO SUL","MS",31.52
"5006309","PARANAÍBA","MS",21.79
"5006358","PARANHOS","MS",69.58
"5006408","PEDRO GOMES","MS",39.9
"5006606","PONTA PORÃ","MS",40.1
"5006903","PORTO MURTINHO","MS",46.95
"5007109","RIBAS DO RIO PARDO","MS",32.58
"5007208","RIO BRILHANTE","MS",26.3
"5007307","RIO NEGRO","MS",34.15
"5007406","RIO VERDE DE MATO GROSSO","MS",27.37
"5007505","ROCHEDO","MS",38.31
"5007554","SANTA RITA DO PARDO","MS",36.5
"5007695","SÃO GABRIEL DO OESTE","MS",21.19
"5007703","SETE QUEDAS","MS",45.32
"5007802","SELVÍRIA","MS",32.22
"5007901","SIDROLÂNDIA","MS",37.88
