"Codigo","idh"
"2900108",0.603
"2900207",0.575
"2900306",0.582
"2900355",0.546
"2900405",0.55
"2900504",0.584
"2900603",0.583
"2900702",0.683
"2900801",0.608
"2900900",0.563
"2901007",0.625
"2901106",0.666
"2901155",0.561
"2901205",0.54
"2901304",0.555
"2901353",0.588
"2901403",0.625
"2901502",0.589
"2901601",0.592
"2901700",0.561
"2901809",0.598
"2901908",0.548
"2901957",0.552
"2902005",0.581
"2902054",0.57
"2902104",0.534
"2902203",0.588
"2902252",0.559
"2902302",0.575
"2902401",0.568
"2902500",0.589
"2902609",0.585
"2902658",0.579
"2902708",0.557
"2902807",0.575
"2902906",0.551
"2903003",0.63
"2903102",0.577
"2903201",0.721
"2903235",0.607
"2903276",0.61
"2903300",0.602
"2903409",0.598
"2903508",0.575
"2903607",0.538
"2903706",0.567
"2903805",0.551
"2903904",0.633
"2903953",0.546
"2904001",0.612
"2904050",0.561
"2904100",0.603
"2904209",0.575
"2904308",0.597
"2904407",0.592
"2904506",0.57
"2904605",0.656
"2904704",0.613
"2904753",0.565
"2904803",0.561
"2904852",0.581
"2904902",0.647
"2905008",0.637
"2905107",0.546
"2905156",0.542
"2905206",0.625
"2905305",0.584
"2905404",0.627
"2905503",0.573
"2905602",0.581
"2905701",0.694
"2905800",0.565
"2905909",0.557
"2906006",0.586
"2906105",0.565
"2906204",0.587
"2906303",0.59
"2906402",0.587
"2906501",0.691
"2906600",0.591
"2906709",0.601
"2906808",0.557
"2906824",0.562
"2906857",0.599
"2906873",0.621
"2906899",0.555
"2906907",0.616
"2907004",0.552
"2907103",0.576
"2907202",0.57
"2907301",0.613
"2907400",0.582
"2907509",0.677
"2907558",0.571
"2907608",0.596
"2907707",0.6
"2907806",0.585
"2907905",0.601
"2908002",0.613
"2908101",0.596
"2908200",0.634
"2908309",0.606
"2908408",0.611
"2908507",0.663
"2908606",0.56
"2908705",0.582
"2908804",0.577
"2908903",0.592
"2909000",0.579
"2909109",0.6
"2909208",0.535
"2909307",0.603
"2909406",0.59
"2909505",0.599
"2909604",0.543
"2909703",0.614
"2909802",0.699
"2909901",0.581
"2910008",0.54
"2910057",0.676
"2910107",0.591
"2910206",0.632
"2910305",0.623
"2910404",0.544
"2910503",0.615
"2910602",0.589
"2910701",0.567
"2910727",0.677
"2910750",0.559
"2910776",0.588
"2910800",0.712
"2910859",0.565
"2910909",0.578
"2911006",0.557
"2911105",0.618
"2911204",0.632
"2911253",0.599
"2911303",0.559
"2911402",0.593
"2911501",0.576
"2911600",0.643
"2911659",0.569
"2911709",0.673
"2911808",0.558
"2911857",0.563
"2911907",0.574
"2912004",0.611
"2912103",0.625
"2912202",0.591
"2912301",0.584
"2912400",0.616
"2912509",0.584
"2912608",0.511
"2912707",0.558
"2912806",0.614
"2912905",0.576
"2913002",0.585
"2913101",0.602
"2913200",0.636
"2913309",0.631
"2913408",0.614
"2913457",0.574
"2913507",0.552
"2913606",0.69
"2913705",0.565
"2913804",0.55
"2913903",0.67
"2914000",0.549
"2914109",0.59
"2914208",0.576
"2914307",0.571
"2914406",0.599
"2914505",0.62
"2914604",0.691
"2914653",0.599
"2914703",0.62
"2914802",0.712
"2914901",0.583
"2915007",0.572
"2915106",0.543
"2915205",0.589
"2915304",0.634
"2915353",0.562
"2915403",0.592
"2915502",0.599
"2915601",0.627
"2915700",0.578
"2915809",0.578
"2915908",0.584
"2916005",0.637
"2916104",0.67
"2916203",0.599
"2916302",0.572
"2916401",0.667
"2916500",0.486
"2916609",0.571
"2916708",0.553
"2916807",0.61
"2916856",0.582
"2916906",0.6
"2917003",0.544
"2917102",0.594
"2917201",0.57
"2917300",0.606
"2917334",0.591
"2917359",0.613
"2917409",0.593
"2917508",0.649
"2917607",0.58
"2917706",0.659
"2917805",0.556
"2917904",0.55
"2918001",0.665
"2918100",0.547
"2918209",0.553
"2918308",0.575
"2918357",0.593
"2918407",0.677
"2918456",0.541
"2918506",0.571
"2918555",0.567
"2918605",0.602
"2918704",0.599
