"CD_GEOCMU","city","poverty"
"4200051","abdon batista",39.74
"4200101","abelardo luz",35.95
"4200200","agrolândia",10.29
"4200309","agronômica",10.37
"4200408","água doce",30.27
"4200507","águas de chapecó",21.12
"4200556","águas frias",13.03
"4200606","águas mornas",6.72
"4200705","alfredo wagner",25.23
"4200754","alto bela vista",18.48
"4200804","anchieta",23.73
"4200903","angelina",28.08
"4201000","anita garibaldi",39.44
"4201109","anitápolis",22.12
"4201208","antônio carlos",7.1
"4201257","apiúna",10.81
"4201273","arabutã",17.1
"4201307","araquari",20.02
"4201406","araranguá",12.99
"4201505","armazém",8.41
"4201604","arroio trinta",4.59
"4201653","arvoredo",13.64
"4201703","ascurra",8.6
"4201802","atalanta",18.14
"4201901","aurora",12.09
"4201950","balneário arroio do silva",20.29
"4202008","balneário camboriú",4.63
"4202057","balneário barra do sul",19.08
"4220000","balneário rincão",NA
"4202073","balneário gaivota",17.21
"4202081","bandeirante",26.6
"4202099","barra bonita",21.56
"4202107","barra velha",15.94
"4202131","bela vista do toldo",45.29
"4202156","belmonte",26.96
"4202206","benedito novo",9.55
"4202305","biguaçu",11.57
"4202404","blumenau",4.41
"4202438","bocaina do sul",40.11
"4202453","bombinhas",10.25
"4202503","bom jardim da serra",36.46
"4202537","bom jesus",26.39
"4202578","bom jesus do oeste",13.23
"4202602","bom retiro",26.86
"4202701","botuverá",3.79
"4202800","braço do norte",8.47
"4202859","braço do trombudo",5.61
"4202875","brunópolis",40.03
"4202909","brusque",3.45
"4203006","caçador",21.4
"4203105","caibi",16.72
"4203154","calmon",48.11
"4203204","camboriú",11.57
"4203253","capão alto",35.36
"4203303","campo alegre",25.74
"4203402","campo belo do sul",40.88
"4203501","campo erê",31.56
"4203600","campos novos",20.37
"4203709","canelinha",17.66
"4203808","canoinhas",25.87
"4203907","capinzal",12.31
"4203956","capivari de baixo",12.09
"4204004","catanduvas",20.09
"4204103","caxambu do sul",26.68
"4204152","celso ramos",34.53
"4204178","cerro negro",47.84
"4204194","chapadão do lageado",30.07
"4204202","chapecó",10.35
"4204251","cocal do sul",8.42
"4204301","concórdia",9.15
"4204350","cordilheira alta",11.24
"4204400","coronel freitas",11.12
"4204459","coronel martins",31
"4204509","corupá",7.12
"4204558","correia pinto",28.97
"4204608","criciúma",8.94
"4204707","cunha porã",9.56
"4204756","cunhataí",9.27
"4204806","curitibanos",26.73
"4204905","descanso",14.98
"4205001","dionísio cerqueira",33.63
"4205100","dona emma",12.14
"4205159","doutor pedrinho",8.67
"4205175","entre rios",41.54
"4205191","ermo",19.25
"4205209","erval velho",15
"4205308","faxinal dos guedes",15.95
"4205357","flor do sertão",20.7
"4205407","florianópolis",6.42
"4205431","formosa do sul",18.55
"4205456","forquilhinha",9.61
"4205506","fraiburgo",25.43
"4205555","frei rogério",40.7
"4205605","galvão",25.35
"4205704","garopaba",15.5
"4205803","garuva",19.97
"4205902","gaspar",4.44
"4206009","governador celso ramos",14.95
"4206108","grão pará",9.92
"4206207","gravatal",12.42
"4206306","guabiruba",6.33
"4206405","guaraciaba",13.54
"4206504","guaramirim",8.61
"4206603","guarujá do sul",12.01
"4206652","guatambú",19.69
"4206702","herval d'oeste",14.13
"4206751","ibiam",17.07
"4206801","ibicaré",16.62
"4206900","ibirama",7.1
"4207007","içara",11.82
"4207106","ilhota",6.75
"4207205","imaruí",33.45
"4207304","imbituba",15.99
"4207403","imbuia",25.78
"4207502","indaial",5.55
"4207577","iomerê",6.27
"4207601","ipira",17.88
"4207650","iporã do oeste",13.34
"4207684","ipuaçu",47.61
"4207700","ipumirim",11.06
"4207759","iraceminha",21.35
"4207809","irani",18.55
"4207858","irati",26.88
"4207908","irineópolis",31.31
"4208005","itá",12.18
"4208104","itaiópolis",28.73
"4208203","itajaí",9.11
"4208302","itapema",10.13
"4208401","itapiranga",9.95
"4208450","itapoá",18
"4208500","ituporanga",11.72
"4208609","jaborá",13.81
"4208708","jacinto machado",20.73
"4208807","jaguaruna",12.85
"4208906","jaraguá do sul",4.12
"4208955","jardinópolis",19.46
"4209003","joaçaba",7.77
"4209102","joinville",7.98
"4209151","josé boiteux",27.79
"4209177","jupiá",32.19
"4209201","lacerdópolis",6.97
"4209300","lages",22.39
"4209409","laguna",20.01
"4209458","lajeado grande",13.95
"4209508","laurentino",7.45
"4209607","lauro muller",13.43
"4209706","lebon régis",44.49
"4209805","leoberto leal",18.57
"4209854","lindóia do sul",13.4
"4209904","lontras",10.42
"4210001","luiz alves",8.01
"4210035","luzerna",5.88
"4210050","macieira",30.52
"4210100","mafra",19.15
"4210209","major gercino",21.98
"4210308","major vieira",40.68
"4210407","maracajá",13.59
"4210506","maravilha",10.8
"4210555","marema",10.56
"4210605","massaranduba",6.05
"4210704","matos costa",45.37
"4210803","meleiro",11.62
"4210852","mirim doce",26.31
"4210902","modelo",10.09
"4211009","mondaí",12.98
"4211058","monte carlo",43.36
"4211108","monte castelo",40.56
"4211207","morro da fumaça",8.73
"4211256","morro grande",17.9
"4211306","navegantes",13.08
"4211405","nova erechim",8.09
"4211454","nova itaberaba",24.23
"4211504","nova trento",6.65
"4211603","nova veneza",6.9
"4211652","novo horizonte",18.81
"4211702","orleans",14.87
"4211751","otacílio costa",16.87
"4211801","ouro",9.74
"4211850","ouro verde",34.96
"4211876","paial",22.43
"4211892","painel",41.62
"4211900","palhoça",9.21
"4212007","palma sola",30.21
"4212056","palmeira",37.65
"4212106","palmitos",14.71
"4212205","papanduva",30.97
"4212239","paraíso",23.08
"4212254","passo de torres",24.31
"4212270","passos maia",37.33
"4212304","paulo lopes",17.35
"4212403","pedras grandes",11.4
"4212502","penha",12.59
"4212601","peritiba",15.14
"4212650","pescaria brava",NA
"4212700","petrolândia",17.2
"4212809","balneário piçarras",15.97
"4212908","pinhalzinho",9.64
"4213005","pinheiro preto",8.24
"4213104","piratuba",13.8
"4213153","planalto alegre",15.02
"4213203","pomerode",4.1
"4213302","ponte alta",36.13
"4213351","ponte alta do norte",36.99
"4213401","ponte serrada",25.82
"4213500","porto belo",10.78
"4213609","porto união",19.31
"4213708","pouso redondo",16.21
"4213807","praia grande",24.45
"4213906","presidente castello branco",9.07
"4214003","presidente getúlio",6.46
"4214102","presidente nereu",14.08
"4214151","princesa",21.98
"4214201","quilombo",15.3
"4214300","rancho queimado",8.47
"4214409","rio das antas",16.6
"4214508","rio do campo",19.36
"4214607","rio do oeste",12.19
"4214706","rio dos cedros",5.68
"4214805","rio do sul",6.85
"4214904","rio fortuna",3.7
"4215000","rio negrinho",20.09
"4215059","rio rufino",34.51
"4215075","riqueza",23.45
"4215109","rodeio",5.98
"4215208","romelândia",21.18
"4215307","salete",15.05
"4215356","saltinho",44.68
"4215406","salto veloso",15.59
"4215455","sangão",10.82
"4215505","santa cecília",33.47
"4215554","santa helena",18.75
"4215604","santa rosa de lima",4.17
"4215653","santa rosa do sul",16.3
"4215679","santa terezinha",41.93
"4215687","santa terezinha do progresso",38.56
"4215695","santiago do sul",19.61
"4215703","santo amaro da imperatriz",8.09
"4215752","são bernardino",38.02
"4215802","são bento do sul",12.4
"4215901","são bonifácio",16.7
"4216008","são carlos",12.4
"4216057","são cristovão do sul",33.64
"4216107","são domingos",20.5
"4216206","são francisco do sul",17.5
"4216255","são joão do oeste",7
"4216305","são joão batista",5.2
"4216354","são joão do itaperiú",10.45
"4216404","são joão do sul",25.56
"4216503","são joaquim",29.72
"4216602","são josé",6.99
"4216701","são josé do cedro",17.26
"4216800","são josé do cerrito",46.38
"4216909","são lourenço do oeste",13.91
"4217006","são ludgero",7.32
"4217105","são martinho",6.7
"4217154","são miguel da boa vista",24.52
"4217204","são miguel do oeste",10.97
"4217253","são pedro de alcântara",8.56
"4217303","saudades",7.85
"4217402","schroeder",4.48
"4217501","seara",6
"4217550","serra alta",7.74
"4217600","siderópolis",9.56
"4217709","sombrio",11.6
"4217758","sul brasil",21.08
"4217808","taió",8.9
"4217907","tangará",13.18
"4217956","tigrinhos",25.05
"4218004","tijucas",12.49
"4218103","timbé do sul",18.26
"4218202","timbó",3.95
"4218251","timbó grande",46.07
"4218301","três barras",34.46
"4218350","treviso",7.3
"4218400","treze de maio",6.87
"4218509","treze tílias",10.76
"4218608","trombudo central",8.47
"4218707","tubarão",7.43
"4218756","tunápolis",16.33
"4218806","turvo",8.2
"4218855","união do oeste",12.75
"4218905","urubici",27
"4218954","urupema",33.42
"4219002","urussanga",6.85
"4219101","vargeão",24.43
"4219150","vargem",48.16
"4219176","vargem bonita",25.45
"4219200","vidal ramos",15.35
"4219309","videira",10.32
"4219358","vitor meireles",31.86
"4219408","witmarsum",13.23
"4219507","xanxerê",15.18
"4219606","xavantina",11.67
"4219705","xaxim",16.49
"4219853","zortéa",9.67
